City,Lon,Lat,Weather ID,Weather Main,Weather Description,Temp (°C),Feels Like (°C),Temp Min (°C),Temp Max (°C),Pressure (hPa),Humidity (%),Visibility (m),Wind Speed (m/s),Wind Deg (°),Rain (1h),Clouds All (%),Sunrise,Sunset
Lowell,-71.3162,42.6334,800,Clear,clear sky,8.78,6.22,7.77,10.03,1014,51,10000,4.63,300,0.0,0,1732535379,1732569334
Ventura,-119.0176,34.4667,804,Clouds,overcast clouds,9.54,9.3,8.58,11.13,1021,69,10000,1.34,194,0.0,100,1732545586,1732582029
Gresham,-122.4315,45.4982,803,Clouds,broken clouds,9.58,7.21,8.53,10.6,1014,86,10000,4.63,80,0.0,75,1732548184,1732581070
High Point,-80.0053,35.9557,803,Clouds,broken clouds,19.89,18.9,18.6,20.93,1016,37,10000,4.12,190,0.0,75,1732536422,1732572462
Billings Metropolitan Area,-108.5007,45.7833,803,Clouds,broken clouds,-7.13,-11.56,-7.13,-7.13,1021,86,10000,2.57,210,0.0,75,1732544894,1732577672
Manchester,-71.4548,42.9956,800,Clear,clear sky,7.52,7.52,6.79,8.38,1014,58,10000,0.89,294,0.0,2,1732535476,1732569304
El Monte,-118.0276,34.0686,804,Clouds,overcast clouds,19.28,18.7,17.97,21.35,1020,55,10000,0.5,258,0.0,87,1732545294,1732581846
South Bend,-86.25,41.6834,804,Clouds,overcast clouds,11.49,10.86,11.09,12.3,1009,83,10000,4.63,290,0.0,100,1732538803,1732573080
Everett,-122.2021,47.979,804,Clouds,overcast clouds,7.13,7.13,6.2,8.55,1015,96,10000,0.45,66,0.0,100,1732548638,1732580506
Pompano Beach,-80.1248,26.2379,801,Clouds,few clouds,25.57,25.7,24.97,26.99,1019,58,10000,7.72,20,0.0,20,1732535229,1732573713
Daly City,-122.4619,37.7058,701,Mist,mist,11.75,11.36,10.91,13.04,1016,91,6437,3.58,80,0.0,100,1732546872,1732582396
Norwalk,-118.0817,33.9022,803,Clouds,broken clouds,19.99,19.56,18.36,21.85,1020,58,10000,1.54,20,0.0,75,1732545285,1732581881
Burbank,-118.309,34.1808,804,Clouds,overcast clouds,18.15,17.4,17.26,19.29,1020,53,10000,2.06,270,0.0,100,1732545377,1732581898
Rialto,-117.3703,34.1064,804,Clouds,overcast clouds,18.38,17.66,16.7,20.01,1020,53,10000,1.34,360,0.0,100,1732545141,1732581683
San Mateo,-122.3511,37.4499,701,Mist,mist,9.21,8.22,8.18,9.97,1015,94,2414,2.06,130,0.0,100,1732546808,1732582408
Lewisville,-96.9942,33.0462,804,Clouds,overcast clouds,10.91,9.88,10.31,11.36,1022,70,10000,9.77,330,0.0,100,1732540107,1732576934
Lakeland,-81.9498,28.0395,800,Clear,clear sky,25.21,25.04,24.3,26.05,1020,48,10000,3.09,50,0.0,0,1732535875,1732573943
Erie,-78.6664,42.7667,501,Rain,moderate rain,9.99,8.99,7.81,10.65,1013,65,10000,2.24,142,1.42,100,1732537168,1732571074
Tyler,-95.3011,32.3513,804,Clouds,overcast clouds,16.09,15.56,15.52,17.03,1018,69,10000,7.2,310,0.0,100,1732539610,1732576618
Pearland,-95.286,29.5636,801,Clouds,few clouds,29.09,31.19,28.0,30.05,1016,60,10000,7.2,200,0.0,20,1732539259,1732576962
Temecula,-117.1484,33.4936,800,Clear,clear sky,22.88,22.16,21.26,24.41,1019,36,10000,1.54,250,0.0,0,1732545006,1732581711
Meridian,-116.3915,43.6121,803,Clouds,broken clouds,9.8,7.29,7.44,10.95,1016,47,10000,5.14,190,0.0,75,1732546380,1732579975
Visalia,-119.2921,36.3302,804,Clouds,overcast clouds,14.19,13.7,13.34,14.45,1019,78,10000,2.57,20,0.0,100,1732545911,1732581836
Westminster,-105.0372,39.8367,801,Clouds,few clouds,8.6,7.51,7.38,9.88,1019,37,10000,2.06,140,0.0,20,1732543014,1732577889
Santa Barbara,-120.0343,34.7333,804,Clouds,overcast clouds,15.31,14.44,15.13,15.31,1019,59,10000,4.12,130,0.0,100,1732545866,1732582237
Green Bay,-88.0198,44.5192,501,Rain,moderate rain,1.89,-1.34,0.98,2.45,1012,96,41,3.13,302,1.4,100,1732539731,1732573001
Cedar Park,-97.8203,30.5052,800,Clear,clear sky,20.92,20.48,19.07,23.01,1019,54,10000,7.2,350,0.0,0,1732539983,1732577455
Lynchburg,-79.1423,37.4138,800,Clear,clear sky,18.69,17.71,18.4,18.71,1016,42,10000,3.6,160,0.0,0,1732536425,1732572045
Tuscaloosa,-87.5692,33.2098,803,Clouds,broken clouds,23.88,23.81,23.88,23.88,1017,57,10000,5.14,200,0.0,75,1732537865,1732574651
Orem,-111.6946,40.2969,804,Clouds,overcast clouds,4.97,4.97,3.43,6.26,1021,48,10000,0.45,24,0.0,100,1732544687,1732579413
Perris,-117.2287,33.7825,803,Clouds,broken clouds,19.72,18.82,17.99,21.72,1019,41,10000,0.45,298,0.0,75,1732545064,1732581692
Dearborn,-83.1763,42.3223,500,Rain,light rain,9.78,8.89,8.62,10.73,1009,82,10000,2.06,150,0.12,100,1732538174,1732572233
Hemet,-116.972,33.7475,803,Clouds,broken clouds,21.14,20.12,19.6,22.75,1019,31,10000,1.79,341,0.0,77,1732544998,1732581635
Fargo,-96.7898,46.8772,800,Clear,clear sky,-7.12,-14.12,-7.98,-6.68,1024,69,10000,9.77,280,0.0,0,1732542301,1732574643
Muncie,-85.3864,40.1934,804,Clouds,overcast clouds,14.96,14.68,14.56,15.09,1009,83,10000,4.02,236,0.0,100,1732538351,1732573117
Casper,-106.3131,42.8666,800,Clear,clear sky,2.62,-3.24,1.33,2.62,1020,60,10000,8.94,245,0.0,0,1732543826,1732577690
Santa Fe,-105.9506,35.5167,800,Clear,clear sky,11.1,9.13,9.44,12.27,1020,33,10000,3.13,186,0.0,0,1732542592,1732578750
Wichita Falls,-98.4934,33.9137,802,Clouds,scattered clouds,10.18,8.77,10.07,10.79,1024,58,10000,8.23,360,0.0,40,1732540582,1732577179
Albany,-73.9662,42.6001,802,Clouds,scattered clouds,6.24,6.24,5.13,7.41,1017,57,10000,0.45,303,0.0,40,1732536010,1732569976
Bend,-121.3153,44.0582,804,Clouds,overcast clouds,4.32,3.12,2.99,5.21,1013,86,10000,1.54,360,0.0,100,1732547644,1732581074
Woodbridge,-74.2846,40.5576,800,Clear,clear sky,12.48,10.98,11.49,13.88,1017,46,10000,1.34,316,0.0,0,1732535743,1732570395
Largo,-82.7873,27.9095,800,Clear,clear sky,22.54,22.39,21.08,24.48,1020,59,10000,2.57,300,0.0,0,1732536061,1732574160
West Haven,-72.9471,41.2706,801,Clouds,few clouds,10.04,8.35,8.8,11.3,1016,48,10000,1.34,295,0.0,24,1732535539,1732569957
Springdale,-94.1288,36.1867,804,Clouds,overcast clouds,6.64,2.24,5.62,7.6,1021,86,10000,8.23,320,0.0,100,1732539847,1732575819
Kokomo,-86.1336,40.4864,804,Clouds,overcast clouds,14.84,14.63,14.35,15.11,1009,86,10000,6.17,230,0.0,100,1732538578,1732573249
Logan,-111.8344,41.7355,803,Clouds,broken clouds,2.95,2.95,2.63,4.4,1022,55,10000,0.45,18,0.0,71,1732544957,1732579209
Bartlesville,-95.9808,36.7473,800,Clear,clear sky,10.21,8.64,9.9,10.57,1024,52,10000,4.12,350,0.0,0,1732540372,1732576183
